"filename", "language", "Markdown", "Shell Script", "Makefile", "Ini", "Python", "CMake", "Log", "JavaScript", "TypeScript", "C++", "JSON", "C", "CMake Cache", "comment", "blank", "total"
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/_setup_util.py", "Python", 0, 0, 0, 0, -208, 0, 0, 0, 0, 0, 0, 0, 0, -53, -44, -305
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/env.sh", "Shell Script", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -4, -17
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/local_setup.bash", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/local_setup.sh", "Shell Script", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -10
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/local_setup.zsh", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/setup.bash", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/setup.sh", "Shell Script", 0, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -10, -97
"/home/ljj/Nav_USV_ws/build/catkin_generated/installspace/setup.zsh", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/catkin_generated/order_packages.cmake", "CMake", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15
"/home/ljj/Nav_USV_ws/build/catkin_generated/order_packages.py", "Python", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -6
"/home/ljj/Nav_USV_ws/build/catkin_generated/setup_cached.sh", "Shell Script", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -3, -16
"/home/ljj/Nav_USV_ws/build/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, -134, 0, 0, 0, 0, 0, 0, 0, 0, -19, -153
"/home/ljj/Nav_USV_ws/build/gtest/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -5, -17
"/home/ljj/Nav_USV_ws/build/gtest/CTestTestfile.cmake", "CMake", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"/home/ljj/Nav_USV_ws/build/gtest/Makefile", "Makefile", 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -51, -48, -201
"/home/ljj/Nav_USV_ws/build/gtest/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, -10, -51
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -5, -17
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CMakeFiles/gmock.dir/DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, -6, -21
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CMakeFiles/gmock.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CMakeFiles/gmock.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CMakeFiles/gmock_main.dir/DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, -6, -22
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CMakeFiles/gmock_main.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CMakeFiles/gmock_main.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/CTestTestfile.cmake", "CMake", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/Makefile", "Makefile", 0, 0, -156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -63, -66, -285
"/home/ljj/Nav_USV_ws/build/gtest/googlemock/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, -10, -51
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -5, -17
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CMakeFiles/gtest.dir/DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -6, -20
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CMakeFiles/gtest.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CMakeFiles/gtest.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"/home/ljj/Nav_USV_ws/build/gtest/googletest/CMakeFiles/gtest_main.dir/DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, -6, -21
